ID,Title,Author,GameStyle,Difficulty,ClearRate,Stars,PlayersPlayed,Clears,RoundsPlayed,Flag,Tag,Link
0AAA-0000-03C8-BF2C,さぶ28,しんこ,sb,Expert,2.17%,8,12,6,277,JP,---,https://supermariomakerbookmark.nintendo.net/courses/0AAA-0000-03C8-BF2C
C115-0000-03E8-A138,訂正版　SMM2買います! ノブさんの提案でYukunにします!,ゆうくん,sb,Easy,43.85%,49,69,57,130,JP,---,https://supermariomakerbookmark.nintendo.net/courses/C115-0000-03E8-A138
B686-0000-03EC-8127,高良ちゃん～～,FXS/D5ゆき,sb,Expert,16.67%,10,13,11,66,JP,---,https://supermariomakerbookmark.nintendo.net/courses/B686-0000-03EC-8127
967A-0000-03EC-415F,3.5マスのツタ,しゅん,sb,Normal,34.09%,10,15,15,44,JP,---,https://supermariomakerbookmark.nintendo.net/courses/967A-0000-03EC-415F
F390-0000-03E9-3763,期間限定 Sal -1　　　↑ジャソプマソ↑,Salamandra,sb,Easy,19.44%,10,16,14,72,JP,---,https://supermariomakerbookmark.nintendo.net/courses/F390-0000-03E9-3763
6C11-0000-03EB-5A57,「A」のじ,しゅん,sb,Easy,48.72%,13,19,19,39,JP,---,https://supermariomakerbookmark.nintendo.net/courses/6C11-0000-03EB-5A57
D109-0000-03D3-C9EC,Mojakun challenge #3,Mojakun 2,sb,Expert,2.36%,13,19,11,467,JP,---,https://supermariomakerbookmark.nintendo.net/courses/D109-0000-03D3-C9EC
7CA6-0000-03EC-652F,蟻寄りのまり！,ぞ~ろ~,sb,Expert,5.30%,16,21,8,151,JP,---,https://supermariomakerbookmark.nintendo.net/courses/7CA6-0000-03EC-652F
B0AD-0000-03EC-8084,Mii変えようかな~,ぅあ,sb,Normal,13.79%,12,16,12,87,JP,---,https://supermariomakerbookmark.nintendo.net/courses/B0AD-0000-03EC-8084
2D20-0000-03EB-CDC7,実は今年中学生になりました！故に投/稿ペース落ちけり...,72(なつ),sb,Super Expert,0.75%,9,14,1,134,JP,---,https://supermariomakerbookmark.nintendo.net/courses/2D20-0000-03EB-CDC7
B636-0000-03DF-BC42,チュッ チュチュチュチュチューイ♪　　はいっ貴方も,さぶメタリカ,sb,Expert,1.82%,18,24,8,440,JP,---,https://supermariomakerbookmark.nintendo.net/courses/B636-0000-03DF-BC42
4C4C-0000-03EB-840F,ナトリウムさん!いつも楽しいコースを有り難う!尊敬しています!,☆ヤキトリッピー★,sb,Easy,34.92%,17,29,22,63,JP,---,https://supermariomakerbookmark.nintendo.net/courses/4C4C-0000-03EB-840F
909C-0000-03EC-45A1,マロンさん　頑張れ！！,chihiro,sb,Easy,66.07%,45,78,74,112,JP,---,https://supermariomakerbookmark.nintendo.net/courses/909C-0000-03EC-45A1
BEE2-0000-03EB-C050,・アンケーート・　SMM2を買いますか?　買うor買わない,しゅん,sb,Easy,70.00%,11,15,14,20,JP,---,https://supermariomakerbookmark.nintendo.net/courses/BEE2-0000-03EB-C050
3BC1-0000-03E7-E4CD,対称,CN.LlZI,sb,Super Expert,0.24%,22,36,7,2924,JP,---,https://supermariomakerbookmark.nintendo.net/courses/3BC1-0000-03E7-E4CD
25FE-0000-03E8-A48A,はぐちゃん(トゲ),ゆういっちゃん,sb,Expert,1.79%,37,130,93,5197,JP,---,https://supermariomakerbookmark.nintendo.net/courses/25FE-0000-03E8-A48A
B3B2-0000-03E5-48F4,W ＫＯ,ババさま,sb,Expert,3.91%,50,72,27,691,JP,---,https://supermariomakerbookmark.nintendo.net/courses/B3B2-0000-03E5-48F4
7714-0000-03EB-5A62,おはな2,Nova/ムロタモ,sb,Expert,5.75%,13,18,10,174,JP,---,https://supermariomakerbookmark.nintendo.net/courses/7714-0000-03EB-5A62
4E0B-0000-03E4-BB13,3.サラマンs,えいちてぃーえす,sb,Normal,10.83%,18,28,17,157,JP,---,https://supermariomakerbookmark.nintendo.net/courses/4E0B-0000-03E4-BB13
6B4E-0000-03E7-1E81,キモチイイ～～!!,はすのは,sb,Expert,0.87%,20,29,7,803,JP,---,https://supermariomakerbookmark.nintendo.net/courses/6B4E-0000-03E7-1E81
F4B2-0000-03E6-B159,応/援団練習があるので、多忙になります。すみません。,ゆうくん,sb,Normal,16.09%,40,58,28,174,JP,---,https://supermariomakerbookmark.nintendo.net/courses/F4B2-0000-03E6-B159
5094-0000-03E5-0A71,ノーマル系！,spw-02,sb,Normal,23.85%,40,58,31,130,JP,---,https://supermariomakerbookmark.nintendo.net/courses/5094-0000-03E5-0A71
3A86-0000-03D8-3BE4,針マリオ7,ブラック,sb,Expert,11.24%,10,14,10,89,JP,---,https://supermariomakerbookmark.nintendo.net/courses/3A86-0000-03D8-3BE4
6BB9-0000-03EB-985E,だいちゃんコース2ー2,だいちゃん,sb,Normal,38.89%,12,23,21,54,JP,---,https://supermariomakerbookmark.nintendo.net/courses/6BB9-0000-03EB-985E
F441-0000-03EC-BE21,リズム感が試されるコース,ふるい,sb,Expert,5.08%,7,11,6,118,JP,---,https://supermariomakerbookmark.nintendo.net/courses/F441-0000-03EC-BE21
EE54-0000-03E9-D12C,置き土産 4,あいすくりーむ,sb,Super Expert,1.92%,7,10,1,52,JP,---,https://supermariomakerbookmark.nintendo.net/courses/EE54-0000-03E9-D12C
63BB-0000-03E9-100C,MINECRAFT10years ~転落ミニゲーム~,ゆ,sb,Expert,2.22%,7,10,1,45,JP,---,https://supermariomakerbookmark.nintendo.net/courses/63BB-0000-03E9-100C
CCBD-0000-03EB-5014,ネタ切れだからサテンに行ってきます。,chihiro,sb,Normal,25.08%,65,105,83,331,JP,---,https://supermariomakerbookmark.nintendo.net/courses/CCBD-0000-03EB-5014
7493-0000-03E7-EE00,リフトを上って行くの,ゆん,sb,Expert,8.08%,9,13,8,99,JP,Theme,https://supermariomakerbookmark.nintendo.net/courses/7493-0000-03E7-EE00
BECF-0000-03E6-84ED,やっぱりマリメは面白い！！！　　　(ブラパTAS乗り),Hțśいもざかなțp,sb,Expert,1.67%,11,17,9,538,JP,---,https://supermariomakerbookmark.nintendo.net/courses/BECF-0000-03E6-84ED
9E97-0000-03E8-19AC,♡マロンさんへ♡　　凄く嬉しかったです!あリがとうございました♡,ピヨたろう,sb,Normal,12.83%,24,42,29,226,JP,---,https://supermariomakerbookmark.nintendo.net/courses/9E97-0000-03E8-19AC
454D-0000-03E5-6555,じょそSUB♥,じょそこ,sb,Super Expert,0.76%,24,44,9,1185,JP,Speedrun,https://supermariomakerbookmark.nintendo.net/courses/454D-0000-03E5-6555
61E6-0000-03E0-1DD9,路頭の花　　 一発,さんぱつまる,sb,Super Expert,0.32%,26,48,8,2523,JP,---,https://supermariomakerbookmark.nintendo.net/courses/61E6-0000-03E0-1DD9
B45E-0000-03E9-91CB,色んな味のハートケーキを食べる(アシュリー様♡♡,りょうたん♪,sb,Easy,40.68%,15,24,24,59,JP,---,https://supermariomakerbookmark.nintendo.net/courses/B45E-0000-03E9-91CB
D68D-0000-03E2-D3EA,8枚目THX！ ということでお世話になったひとをかきます!,ゆうくん,sb,Easy,89.29%,32,53,50,56,JP,---,https://supermariomakerbookmark.nintendo.net/courses/D68D-0000-03E2-D3EA
CCF8-0000-03EC-AADC,ジョッソー(じょそバードが映えるコース),じょそバード,sb,Expert,7.69%,8,12,4,52,JP,---,https://supermariomakerbookmark.nintendo.net/courses/CCF8-0000-03EC-AADC
6DB7-0000-03EA-91EB,ハローキティのドッド絵に挑戦してみました♥20time！,りょうたん♪,sb,Normal,23.33%,20,32,21,90,JP,---,https://supermariomakerbookmark.nintendo.net/courses/6DB7-0000-03EA-91EB
DC8E-0000-03E8-E419,ももまるビルダー♀sに挑戦状です♪後コース楽しかったのでまたよろ,κéπτα♪Zだん,sb,Super Expert,1.84%,12,27,8,434,JP,---,https://supermariomakerbookmark.nintendo.net/courses/DC8E-0000-03E8-E419
E099-0000-03E8-C4A2,ぴょんぴょんアシェリー,ねむねむ,sb,Super Expert,1.19%,38,59,8,671,JP,---,https://supermariomakerbookmark.nintendo.net/courses/E099-0000-03E8-C4A2
98A4-0000-03E8-7D6B,にょきにょき,わんこそば,sb,Super Expert,0.13%,14,22,2,1591,JP,---,https://supermariomakerbookmark.nintendo.net/courses/98A4-0000-03E8-7D6B
8F7A-0000-03E7-61A9,やってやるさ,#NEWS♪,sb,Easy,85.71%,8,13,12,14,JP,---,https://supermariomakerbookmark.nintendo.net/courses/8F7A-0000-03E7-61A9
E019-0000-03E6-AB44,よしひこ３せい様の鬼畜コースクリ/アしました♪　まじ感/謝,κéπτα♪Zだん,sb,Expert,4.66%,24,38,11,236,JP,---,https://supermariomakerbookmark.nintendo.net/courses/E019-0000-03E6-AB44
6338-0000-03E6-9213,♥♡♥ ドッスン遺跡 ♡♥♡,あいちゃん,sb,Super Expert,0.35%,30,51,6,1715,JP,Speedrun,https://supermariomakerbookmark.nintendo.net/courses/6338-0000-03E6-9213
6572-0000-03DE-55BB,よしひこさんせい&#39;sにおくる　シビア　ちょい難BAN,そまみめ,sb,Expert,4.29%,8,13,3,70,JP,---,https://supermariomakerbookmark.nintendo.net/courses/6572-0000-03DE-55BB
DAA2-0000-03DB-1EE5,P,ババさま,sb,Super Expert,1.11%,32,50,13,1170,JP,---,https://supermariomakerbookmark.nintendo.net/courses/DAA2-0000-03DB-1EE5
8A29-0000-03C8-BEBC,さぶ27,しんこ,sb,Expert,1.17%,8,12,2,171,JP,---,https://supermariomakerbookmark.nintendo.net/courses/8A29-0000-03C8-BEBC
3223-0000-03A8-019D,区画された部屋　Secsion,あき,sb,Easy,26.32%,20,31,15,57,JP,---,https://supermariomakerbookmark.nintendo.net/courses/3223-0000-03A8-019D
595E-0000-03E9-B95C,コンニチハ (ΦωΦ)　本名は長介、近所の猫です♪,ひーちゃんHB,sb,Expert,4.35%,37,56,20,460,JP,---,https://supermariomakerbookmark.nintendo.net/courses/595E-0000-03E9-B95C
88C1-0000-03E8-DB6A,【ナトリウムs】信頼してるひとに恩返+しをするのは当たり前体操♪,じいちゃん【Zだん】,sb,Normal,19.46%,31,48,36,185,JP,---,https://supermariomakerbookmark.nintendo.net/courses/88C1-0000-03E8-DB6A
02A3-0000-03D1-0021,マリメ界のシンデレラの愛に支えられて私はマリメを続けられている。,⊂  まさひろ  ⊃,sb,Normal,8.90%,50,82,13,146,JP,---,https://supermariomakerbookmark.nintendo.net/courses/02A3-0000-03D1-0021
B16F-0000-03E3-E0C6,ナトリウムsも有り難うございます♪　こちらこそ応.援しています!,じいちゃん【Zだん】,sb,Normal,22.13%,23,38,27,122,JP,---,https://supermariomakerbookmark.nintendo.net/courses/B16F-0000-03E3-E0C6
81D4-0000-03E5-74DF,平成の最後、どのゲームに思い出がある?　Heisei last,ひで,sb,Easy,24.29%,21,37,34,140,JP,---,https://supermariomakerbookmark.nintendo.net/courses/81D4-0000-03E5-74DF
6810-0000-03E4-AC30,チクワ速降りのテクニックを、針のせまい空間でやってみよう！！,スピランなど★せいや,sb,Super Expert,0.47%,21,33,1,215,JP,---,https://supermariomakerbookmark.nintendo.net/courses/6810-0000-03E4-AC30
E180-0000-03DD-7FE2,¥当選¥坊　おめでと～♪,ババさま,sb,Super Expert,1.94%,40,66,12,618,JP,---,https://supermariomakerbookmark.nintendo.net/courses/E180-0000-03DD-7FE2
D017-0000-03EB-1B4C,One Jump,MW,sb,Super Expert,0.95%,17,29,7,736,JP,---,https://supermariomakerbookmark.nintendo.net/courses/D017-0000-03EB-1B4C
D0C7-0000-03EB-5F50,「全員並べ！おいそこ！何割り込みしているんだ！」,ZoneΩ_193,sb,Expert,1.07%,15,25,11,1029,JP,---,https://supermariomakerbookmark.nintendo.net/courses/D0C7-0000-03EB-5F50
C5D2-0000-03E5-AAF0,ん!? え!? は!? まぁ~Janp,FXS/D5ゆき,sb,Expert,3.61%,15,24,13,360,JP,---,https://supermariomakerbookmark.nintendo.net/courses/C5D2-0000-03E5-AAF0
B5D2-0000-03EB-C37A,えっ…? …突破!,クッキー★アイランド,sb,Expert,4.88%,26,42,4,82,JP,Gimmick,https://supermariomakerbookmark.nintendo.net/courses/B5D2-0000-03EB-C37A
8B0C-0000-03E6-DC74,バースデースビードラン♪【60】初代,だいちゃん,sb,Easy,68.00%,13,21,17,25,JP,---,https://supermariomakerbookmark.nintendo.net/courses/8B0C-0000-03E6-DC74
1617-0000-03E3-F8C0,♥♡♥ あいちゃんムーンサルト ♡♥♡,あいちゃん,sb,Super Expert,0.53%,39,63,4,753,JP,Theme,https://supermariomakerbookmark.nintendo.net/courses/1617-0000-03E3-F8C0
F8EC-0000-03EC-0AD7,I&#39;m &quot;Yoshihiko&quot;　See you in SMM２！,リアルよしひこ40♂,sb,Normal,18.93%,61,99,60,317,JP,---,https://supermariomakerbookmark.nintendo.net/courses/F8EC-0000-03EC-0AD7
AC5C-0000-03EA-AA6F,削除したコースのかわり6 普通?ルートか難しい?ルートか …,TI,sb,Easy,35.27%,48,79,73,207,JP,Traditional,https://supermariomakerbookmark.nintendo.net/courses/AC5C-0000-03EA-AA6F
AAAF-0000-03D0-B269,顆粒状震動男友,Gong,sb,Expert,1.03%,11,23,5,486,JP,---,https://supermariomakerbookmark.nintendo.net/courses/AAAF-0000-03D0-B269
30CF-0000-03E6-38C5,♥♡♥ うじゃうじゃ ♡♥♡,あいちゃん,sb,Super Expert,0.29%,29,48,1,340,JP,Thumbnail,https://supermariomakerbookmark.nintendo.net/courses/30CF-0000-03E6-38C5
3A6F-0000-03E7-157E,しんどマリオ3(しんどくねーぜ)100%,ルイージ1,sb,Normal,14.47%,9,16,11,76,JP,---,https://supermariomakerbookmark.nintendo.net/courses/3A6F-0000-03E7-157E
204B-0000-03E6-1363,アズールレーンとキズナアイとのコラボの広告多すぎぃ!!,よたく,sb,Super Expert,0.34%,36,62,4,1172,JP,---,https://supermariomakerbookmark.nintendo.net/courses/204B-0000-03E6-1363
BE54-0000-03E5-F99E,あの鬼畜コースの劣化版ですぅ～♥　あと４まい目感/謝,κéπτα♪Zだん,sb,Super Expert,1.28%,27,48,7,545,JP,---,https://supermariomakerbookmark.nintendo.net/courses/BE54-0000-03E5-F99E
64FE-0000-03E6-C152,1ООООやったああああああああああああああああああああああああ,フォース/force,sb,Normal,30.72%,41,70,51,166,JP,---,https://supermariomakerbookmark.nintendo.net/courses/64FE-0000-03E6-C152
3C55-0000-03E8-982F,時間に追われる日々,よたく,sb,Super Expert,0.47%,30,52,6,1285,JP,---,https://supermariomakerbookmark.nintendo.net/courses/3C55-0000-03E8-982F
1BC9-0000-03EC-A7DF,なんかこのイカおかしくね?,しゅん,sb,Easy,71.43%,7,11,10,14,JP,---,https://supermariomakerbookmark.nintendo.net/courses/1BC9-0000-03EC-A7DF
5F9E-0000-03EA-08A0,うらみつらみ,ピクトっち,sb,Super Expert,0.21%,7,13,1,484,JP,---,https://supermariomakerbookmark.nintendo.net/courses/5F9E-0000-03EA-08A0
D1B7-0000-03DC-3D5E,ハンマー×ハンマー,ババさま,sb,Super Expert,2.50%,35,56,18,719,JP,---,https://supermariomakerbookmark.nintendo.net/courses/D1B7-0000-03DC-3D5E
6A0F-0000-03C6-745B,さぶ15,しんこ,sb,Expert,0.99%,7,13,4,404,JP,---,https://supermariomakerbookmark.nintendo.net/courses/6A0F-0000-03C6-745B
2839-0000-03E5-8B21,しとしとぴっちゃんしとぴっちゃん♪ぼん、3分間待つのだぞー!^^,あいすくりーむ,sb,Expert,3.32%,26,52,13,391,JP,---,https://supermariomakerbookmark.nintendo.net/courses/2839-0000-03E5-8B21
DF05-0000-03D6-BFD8,COO隊へ挑戦状 ~クラウン~,ぞ~ろ~,sb,Super Expert,1.24%,31,50,12,966,JP,---,https://supermariomakerbookmark.nintendo.net/courses/DF05-0000-03D6-BFD8
E1E7-0000-03E3-177A,さばのみぎうでさん！いつも有り難うございます♪応　援しています！,ポムポムれい(^^),sb,Easy,64.42%,43,72,67,104,JP,---,https://supermariomakerbookmark.nintendo.net/courses/E1E7-0000-03E3-177A
B548-0000-03DC-8435,微みょ～ン・・・,ババさま,sb,Expert,7.04%,43,71,25,355,JP,---,https://supermariomakerbookmark.nintendo.net/courses/B548-0000-03DC-8435
C92F-0000-03EB-5557,「S」のじ,しゅん,sb,Normal,15.46%,12,20,15,97,JP,---,https://supermariomakerbookmark.nintendo.net/courses/C92F-0000-03EB-5557
F9C5-0000-03E3-4A73,ShortCourse7 イーペーコー,ぶっちょ,sb,Super Expert,1.91%,12,24,9,472,JP,---,https://supermariomakerbookmark.nintendo.net/courses/F9C5-0000-03E3-4A73
F70E-0000-03E3-46F4,8,くるみんチャンネル,sb,Super Expert,0.04%,17,48,1,2337,JP,---,https://supermariomakerbookmark.nintendo.net/courses/F70E-0000-03E3-46F4
F5C8-0000-03EA-663D,マリオメーカー2発売まであと1ヵ月! 　～マリオシリーズ大集結～,こうきち,sb,Normal,30.41%,15,52,45,148,JP,---,https://supermariomakerbookmark.nintendo.net/courses/F5C8-0000-03EA-663D
F990-0000-03E9-E4EE,上級者は6周&amp;EXを目指せ！ TAS乗りオールスターズ,CO-RA,sb,Expert,4.79%,10,19,7,146,JP,---,https://supermariomakerbookmark.nintendo.net/courses/F990-0000-03E9-E4EE
8C4A-0000-03E9-4CD1,てんしのデジャヴ,えみりーひめ(ニセ),sb,Expert,10.59%,10,16,9,85,JP,---,https://supermariomakerbookmark.nintendo.net/courses/8C4A-0000-03E9-4CD1
8732-0000-03E7-7F8C,地獄宛のpresent,じょそこ,sb,Super Expert,0.58%,15,28,5,867,JP,---,https://supermariomakerbookmark.nintendo.net/courses/8732-0000-03E7-7F8C
1CF5-0000-03E3-7EE7,3年前に作ったY+→長押し半自動,しゅん,sb,Easy,45.10%,15,28,23,51,JP,---,https://supermariomakerbookmark.nintendo.net/courses/1CF5-0000-03E3-7EE7
6FB7-0000-03DF-095E,洞窟壁画,さんぱつまる,sb,Expert,0.60%,25,43,9,1500,JP,---,https://supermariomakerbookmark.nintendo.net/courses/6FB7-0000-03DF-095E
24F3-0000-03D0-F7E4,まつだい様お帰りなさい！マリメ復帰おめでとう！(♪♥∀♥♪／),D3★だいふぁん♪,sb,Normal,10.26%,10,17,8,78,JP,---,https://supermariomakerbookmark.nintendo.net/courses/24F3-0000-03D0-F7E4
0DAD-0000-03A2-FA7E,メイドインワリオのスケボー風,あき,sb,Expert,1.80%,23,37,10,556,JP,---,https://supermariomakerbookmark.nintendo.net/courses/0DAD-0000-03A2-FA7E
09F7-0000-03E5-7E70,１０秒マリオ　[令和 ～New Era Name～],きあみふ,sb,Super Expert,0.90%,31,55,6,666,JP,Speedrun,https://supermariomakerbookmark.nintendo.net/courses/09F7-0000-03E5-7E70
3D8B-0000-03E8-DDEF,８００突破!ちなみに７枚目はどんぐらいだったらい/いんですか～♥,κéπτα♪Zだん,sb,Normal,5.41%,13,22,6,111,JP,---,https://supermariomakerbookmark.nintendo.net/courses/3D8B-0000-03E8-DDEF
FB49-0000-03D5-15F2,一方通行乱れ打ち,しんご,sb,Super Expert,0.44%,55,92,5,1136,JP,---,https://supermariomakerbookmark.nintendo.net/courses/FB49-0000-03D5-15F2
5726-0000-03E6-9FEB,また何かやってるよ・・こんな時間に!    (ΦωΦ;),ひーちゃんHB,sb,Expert,9.54%,37,60,35,367,JP,---,https://supermariomakerbookmark.nintendo.net/courses/5726-0000-03E6-9FEB
196D-0000-03EA-5646,10秒チャレンジ　～バネ編～,しゅん,sb,Expert,2.61%,8,13,3,115,JP,---,https://supermariomakerbookmark.nintendo.net/courses/196D-0000-03EA-5646
4F47-0000-03E9-180B,このコー/スのタイム争いが凄そうな予想がされます,♧風のみく♧,sb,Normal,19.23%,16,37,30,156,JP,---,https://supermariomakerbookmark.nintendo.net/courses/4F47-0000-03E9-180B
5D55-0000-03E6-26A3,3751chat.,じょそこ,sb,Expert,6.40%,16,26,11,172,JP,---,https://supermariomakerbookmark.nintendo.net/courses/5D55-0000-03E6-26A3
4714-0000-03E1-F5F2,甲羅持っていきましょう！！！,MKS&amp;D3よこぼー,sb3,Expert,1.40%,12,16,6,429,JP,---,https://supermariomakerbookmark.nintendo.net/courses/4714-0000-03E1-F5F2
662F-0000-03EA-A1BA,謎解き,Rei,sb3,Super Expert,1.85%,11,16,2,108,JP,---,https://supermariomakerbookmark.nintendo.net/courses/662F-0000-03EA-A1BA
94BE-0000-03E0-8472,ついに僕も【5枚目突破！】それもこれも皆さんのおかげです♪,じいちゃん【Zだん】,sb3,Easy,38.64%,21,28,17,44,JP,---,https://supermariomakerbookmark.nintendo.net/courses/94BE-0000-03E0-8472
